,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp
1530,Rebecca Romijn,1972-11-06,John Stamos ( m.   1998 ;  div.   2005 ) Jerry O'Connell  ( m.   2007 ),2,,Actress & former model,"Berkeley, California , U.S.",1963-08-19,"Cypress, California , U.S.","
 Actor 
 producer 
 musician 
 singer 
 comedian 
",Rebecca Romijn ( m.   1998 ;  div.   2005 ) Caitlin McHugh  ( m.  2018),1
1531,Xosha Roquemore,1984-12-12,Lakeith Stanfield,1,,Actress,"Los Angeles ,  California ,  U.S.",,,,,
1532,Anika Noni Rose,1972-09-06,,,Florida A&M University (BA)American Conservatory Theater (MFA),"Actress, singer","Bloomfield, Connecticut ,  U.S.",,,,,
1533,Cristine Rose,1951-01-31,,,,Actress,"Lynwood, California , U.S.",,,,,
1534,Emily Rose,1981-02-02,Dairek Morgan ( m.   2009 ),2,,,"Renton, Washington , U.S.",,,,,
1535,Margot Rose,1956-07-17,,,,"Actress, composer, lyricist","Pittsburgh, Pennsylvania , U. S.",,,,,
1536,Diana Ross,1944-03-26,Robert Ellis Silberstein ( m.  1971;  div.  1977) Arne Næss Jr. ( m.  1986;  div.  2000),"5, including:    Rhonda Ross Kendrick     Tracee Ellis Ross     Evan Ross",,"Singer, actress, record producer","Detroit ,  Michigan , U.S.",1946-01-05,"Elberon, New Jersey , U.S.",,Diana Ross ( m.  1971;  div.  1977),"3, including  Tracee Ellis Ross"
1537,Katharine Ross,1940-01-29,Joel Fabiani ( m.  1960;  div.  1962) John Marion ( m.  1964;  div.  1967) Conrad Hall ( m.  1969;  div.  1974) Gaetano Lisi ( m.  1974;  div.  1979) Sam Elliott  ( m.  1984),1,,"Actress, author","Hollywood ,  California , U.S.",,,,,
1538,Tracee Ellis Ross,1972-10-29,,,,"Actress, model, comedian, television host, activist","Los Angeles ,  California , U.S.",,,,,
1539,Emmy Rossum,1986-09-12,"
 Justin Siegel ( m.   2008 ;  div.   2010 ) 
 Sam Esmail  ( m.   2017 ) 
",,,"
 Actress 
 television director 
 singer-songwriter 
","New York City ,  New York , U.S. [2]",,,,,
1540,Lillian Roth,1910-12-13,Mark Harris (?–?; divorced) William C. Scott (1931–1932; divorced) Benjamin Shalleck (1933–1939; divorced) Eugene Weiner (1940–1941; divorced) Edward Goldman (1942–1945; divorced) Thomas Burt McGuire (?–1963; divorced),,,Actress,"Boston ,  Massachusetts , U.S.",,,,,
1541,Jessica Rothe,1987-05-28,,,,Actress,"Denver, Colorado , U.S.",,,,,
1542,Misty Rowe,1950-06-01,"James DePaiva  (1986–1995), J.D. Ligier (2001–2013)",,,Actress,"Glendora, California , U.S.",,,,,
1543,Victoria Rowell,1959-05-10,Tom Fahey (1989–1990)   Radcliffe Bailey (2009–2014),2,,"Actress, producer, writer","Portland ,  Maine , U.S.",,,,,
1544,Kelly Rowland,1981-02-11,Tim Weatherspoon ( m.   2014 ),1,,"
 Singer 
 songwriter 
 actress 
 television personality 
","Atlanta ,  Georgia , U.S.",,,,,
1545,Gena Rowlands,1930-06-19,John Cassavetes ( m.  1954; died 1989) Robert Forrest   ( m.  2012),Nick Cassavetes Alexandra Cassavetes Zoe Cassavetes,,Actress,"Cambria, Wisconsin , U.S.",1929-12-09,"New York City, U.S.","
 Actor 
 filmmaker 
",Gena Rowlands    ( m.  1954),"
 Nick 
 Alexandra 
 Zoe 
"
1546,Jennifer Rubin,1962-04-03,,,,"Actress, Writer, Producer","Phoenix ,  Arizona , U.S.",,,,,
1547,Zelda Rubinstein,,,,,"Actress, human rights activist","Pittsburgh , Pennsylvania, U.S.",,,,,
1548,Maya Rudolph,1972-07-27,Paul Thomas Anderson  (2001–present),4,,"Actress, voice artist, comedian, singer","Gainesville, Florida , U.S.",,,,,
1549,Sara Rue,1979-01-26,Mischa Livingstone ( m.  2001;  div.  2007) Kevin Price  ( m.  2011),2,,Actress,"New York City ,  New York , U.S.",,,,,
1550,Mercedes Ruehl,1948-02-28,David Geiser,2,,Actor,"Jackson Heights, Queens, New York , United States",,,,,
1551,Janice Rule,1931-08-15,N. Richard Nash ( m.  1956;  div.  1956) Robert Thom ( m.  1956;  div.  1961) Ben Gazzara ( m.  1961;  div.  1982),2,,"Actress, psychotherapist","Norwood, Ohio , U.S.",,,,,
1552,Olesya Rulin,1986-03-17,,,,Actress,"Moscow ,  Russian SFSR ,  Soviet Union",,,,,
1553,Jennifer Runyon,1960-04-01,Todd Corman ( m.  1991),2,,Actress,"Chicago ,  Illinois , U.S.",,,,,
1554,Debra Jo Rupp,1951-02-24,,,,Actress,"Glendale, California , U.S.",,,,,
1555,Barbara Rush,1927-01-04,Jeffrey Hunter  ( m.  1950–1955) Warren Cowan  ( m.  1959–1970) Jim Gruzalski ( m.  1970–1973),2; including  Claudia Cowan,"University of California, Santa Barbara (1948)",Actress,"Denver ,  Colorado , U.S.",1926-11-25,"New Orleans, Louisiana , U.S.","Actor, producer",Barbara Rush ( m.  1950;  div.  1955)  1 child Joan Bartlett ( m.  1957;  div.  1967)  2 children Emily McLaughlin  ( m.  1969–1969),4
1556,Odeya Rush,1997-05-12,,,,"
 Actress 
 model 
","Haifa ,  Israel",,,,,
1557,Betsy Russell,1963-09-06,Vincent Van Patten ( m.  1989;  div.  2001),2,,Actress,"San Diego ,  California , U.S.",1957-10-17,"Bellerose, New York , U.S.","Actor, tennis player, commentator",Betsy Russell ( m.  1989;  div.  2001) Eileen Davidson  ( m.  2003),3
1558,Gail Russell,1924-09-21,Guy Madison ( m.  1949;  div.  1954),,,Actress,"Chicago , Illinois, U.S.",1922-01-19,"Pumpkin Center, Kern County, California , U.S.",Actor,Gail Russell ( m.  1949;  div.  1954)     Sheila Connolly ( m.  1954;  div.  1964),4
1559,Jane Russell,1921-06-21,Bob Waterfield  (m. 1943–1968; divorced) Roger Barrett (m. 1968; his death) John Calvin Peoples (m. 1974–1999; his death),3,,"Actress, model, singer","Bemidji, Minnesota , U.S.",,,,,
1560,Keri Russell,1976-03-23,Shane Deary ( m.  2007; separated 2013),3,,"Actress, dancer","Fountain Valley, California , United States",,,,,
1561,Rosalind Russell,1907-06-04,Frederick Brisson (1941–1976; her death),1,,"Actress, comedian, screenwriter, singer","Waterbury, Connecticut , U.S.",,,,,
1562,Theresa Russell,1957-03-20,Nicolas Roeg   (1982–?; divorced),2,,Actress,"San Diego , California, U.S.",,,,,
1563,Deanna Russo,,Michael Cassady ( m.  2014),1,,Actress,"New Jersey , USA",,,,,
1564,Rene Russo,1954-02-17,Dan Gilroy  ( m.   1992 ),1,,"Actress, producer, model","Burbank, California , U.S.",1959-06-24,"Santa Monica, California , U.S.",Filmmaker,Rene Russo  ( m.  1992),1
1565,Kelly Rutherford,1968-11-06,Carlos Tarajano ( m.  2001;  div.  2002) Daniel Giersch ( m.  2006;  div.  2010),2,,Actress,"Elizabethtown, Kentucky , U.S.",,,,,
1566,Amy Ryan,1969-05-03,Eric Slovin ( m.  2011),1,,Actress,"New York City ,  New York , U.S.",,,,,
1567,Blanchard Ryan,1967-01-12,,,,,"Boston ,  Massachusetts , U.S.",,,,,
1568,Debby Ryan,1993-05-13,Josh Dun  (engaged),,Fossil Ridge High School,"
 Actress 
 singer 
 musician 
 model 
","Huntsville, Alabama , U.S.",,,,,
1569,Eileen Ryan,,Leo Penn ( m.  1957; died 1998),Michael Penn Sean Penn Chris Penn,,Actress,"New York City , U.S.",1921-08-27,"Lawrence, Massachusetts , U.S.","Television director, actor",Olive Deering ( m.  1947;  div.  1952) Eileen Ryan  ( m.  1957),Michael Penn Sean Penn Chris Penn
1570,Irene Ryan,1902-10-17,Tim Ryan  ( m.  1922–1942) ; divorced Harold E. Knox ( m.  1946–1961) ; divorced,,,Actress,"El Paso , Texas, United States [1]",,"Bayonne ,  New Jersey , United States",Actor,Irene Ryan  ( m.  1922–1942) ; divorced,
1571,Jeri Ryan,1968-02-22,Jack Ryan ( m.  1991;  div.  1999) Christophe Émé  ( m.  2007),2,,Actress,"Munich ,  West Germany",,,,,
1572,Meg Ryan,1961-11-19,Dennis Quaid ( m.  1991;  div.  2001),"2,  Jack Quaid",,"Actress, producer","Fairfield, Connecticut , U.S.",1954-04-09,"Houston ,  Texas , U.S.","
 Actor 
 producer 
 director 
 singer 
 writer 
",P. J. Soles ( m.  1978;  div.  1983) Meg Ryan ( m.  1991;  div.  2001) Kimberly Buffington ( m.  2004;  div.  2018),"3, including  Jack Quaid"
1573,Winona Ryder,1971-10-29,Scott Mackinlay Hahn (2011–present),,,"
 Actress 
 film producer 
","Winona, Minnesota , U.S.",,,,,
1574,Katee Sackhoff,1980-04-08,Karl Urban   (2014–present) [1],,,Actress,"Portland ,  Oregon , U.S.",,,,,
1575,Katey Sagal,1954-01-19,Freddy Beckmeier ( m.  1977;  div.  1981)     Fred Lombardo ( m.  1986;  div.  1989)     Jack White ( m.  1993;  div.  2000)     Kurt Sutter    ( m.  2004),4,,Actress  •  singer  •  songwriter,"Los Angeles ,  California ,  U.S.",,,,,
1576,Halston Sage,1993-05-10,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
1577,Eva Marie Saint,1924-07-04,Jeffrey Hayden ( m.   1951 ; died  2016 ),2,,Actress,"Newark, New Jersey , U.S.",,,,,
1578,Susan Saint James,1946-08-14,Richard Neubert (1967–1968) Tom Lucas (1971–1977) Dick Ebersol  (1981–present),"5, including  Charlie Ebersol",,Actress,"Los Angeles, California , U.S.",,,,,
1579,Jill St. John,1940-08-19,Neil Dubin ( m.  1957;  div.  1958) Lance Reventlow ( m.  1960;  div.  1963) Jack Jones ( m.  1967;  div.  1969) Robert Wagner  ( m.  1990),,Hollywood Professional School,Actress,"Los Angeles , California, U.S.",,,,,
1580,Zoe Saldana,1978-06-19,Marco Perego-Saldana ( m.  2013),3,,"Actress, dancer","Passaic, New Jersey , U.S.",,,,,
1581,Laura San Giacomo,1962-11-14,Cameron Dye  ( m.  1990–1998) Matt Adler  ( m.  2000),1,Carnegie Mellon University (BFA),Actress,"West Orange, New Jersey , U.S.",1959-04-09,"New Orleans ,  Louisiana , U.S.",Actor,Laura San Giacomo  ( m.  1990–1998),2
1582,Kiele Sanchez,1977-10-13,Zach Helm ( m.  2001;  div.  2008) Zach Gilford  ( m.  2012),2,Glenbard North High School,Actress,"Chicago ,  Illinois , U.S.",1975-01-21,"Santa Clara, California ,  United States","Film director ,  film producer ,  screenwriter",,
1583,Erin Sanders,1991-01-19,,,,Actress,"Santa Monica, California ,  U.S.",,,,,
1584,Adam Sandler,1966-09-09,Jacqueline Titone ( m.  2003),2,,"
 Actor 
 comedian 
 screenwriter 
 film producer 
 musician 
","New York City , New York, U.S.",,,,,
1585,Bianca Santos,1990-07-26,,,,"Actress, producer","Santa Monica ,  California , U.S.",,,,,
1586,Mia Sara,1967-06-19,American,2,Saint Ann's School,Actress,"Brooklyn Heights ,  New York , U.S.",1963-01-11,"Marylebone ,  London , England","Actor, director",Mia Sara ( m.  1996;  div.  2002),1
1587,Susan Sarandon,1946-10-04,Chris Sarandon ( m.  1967;  div.  1979),"3; including  Eva Amurri  & two sons John ""Jack"" Henry and Miles Guthrie [1]",,"Actress , activist","New York City, New York , U.S.",1942-07-24,"Beckley ,  West Virginia , US",Actor,Actor,3
1588,Tura Satana,1938-07-10,John Satana ( m.  1951–1952) Endel Jurman ( m.  1981–2000),2,,Actress,"Hokkaidō, Japan",,,,,
1589,Morgan Saylor,1994-10-26,,,,Actress,"Chicago ,  Illinois , US",,,,,
1590,Allison Scagliotti,1990-09-21,,,,"Actress, director","Monterey, California , U.S.",,,,,
1591,Gia Scala,,Don Burnett (1959-1970; divorced),,,"Actress ,  model","Liverpool ,  Lancashire [1] , England",,,,,
1592,Diana Scarwid,1955-08-27,Eric Scheinbart ( m.  1978;  div.  1995),2,The American Academy of Dramatic ArtsPace University,Actress,"Savannah, Georgia ,  U.S",,,,,
1593,Cassie Scerbo,1990-03-30,,,,"Actress, singer, dancer","Long Island, New York , U.S.",,,,,
1594,Kristen Schaal,1978-01-24,Rich Blomquist [1] [2]  ( m.  2012),1,,"
 Actress 
 voice actress 
 comedian 
 writer 
","Longmont, Colorado , U.S.",,,,,
1595,Natalie Schafer,1900-11-05,Louis Calhern ( m.  1933;  div.  1942),,,Actress,"Red Bank, New Jersey , U.S. [1]",1895-02-19,"Brooklyn , New York, U.S.",Actor,Ilka Chase ( m.  1926;  div.  1927) Julia Hoyt ( m.  1927;  div.  1932)   Natalie Schafer ( m.  1933;  div.  1942)   Marianne Stewart ( m.  1946;  div.  1955),
1596,Anne Schedeen,1949-01-08,Christopher Barrett ( m.  1982),1,,Actress,"Portland ,  Oregon , U.S.",,,,,
1597,Taylor Schilling,1984-07-27,,,Fordham University (BFA),Actress,"Boston, Massachusetts , U.S.",,,,,
1598,Carly Schroeder,1990-10-18,,,,Actress,"Valparaiso, Indiana , U.S.",,,,,
1599,Annabella Sciorra,1960-03-29,Joe Petruzzi ( m.  1989;  div.  1993),,,Actress,"Brooklyn ,  New York , U.S. [1]",,,,,
1600,Ashley Scott,1977-07-13,"Anthony Rhulen (2004–2008, divorced) [1] Steve Hart  (January 2010 – present)",2,,"Actress, model","Metairie, Louisiana , U.S.",,,,,
1601,Lizabeth Scott,1922-09-29,,,,"Actress, singer, model","Scranton, Pennsylvania , United States",,,,,
1602,Martha Scott,1912-09-22,Carlton Alsop ( m.  1940;  div.  1946) Mel Powell ( m.  1946; died 1998),3,,"Film, television and stage actress","Jamesport, Missouri , U.S.",,,,,
1603,Stefanie Scott,1996-12-06,,,,"Actress, singer","Chicago ,  Illinois , U.S.",,,,,
1604,Amy Sedaris,1961-03-29,,,,"
 Actress 
 comedian 
 writer 
","Endicott, New York , U.S.",,,,,
1605,Kyra Sedgwick,1965-08-19,Kevin Bacon  ( m.   1988 ),"2, including  Sosie Bacon",,"Actress, producer, director","New York City , U.S.",1958-07-08,"Philadelphia ,  Pennsylvania , U.S.","Actor, director, producer, musician",Kyra Sedgwick  ( m.  1988),"2, including  Sosie Bacon"
1606,Sandra Seacat,1936-10-02,Arthur I. Kaufman (1959–1968 or 1969; divorced) [3] Michael Ebert (?–1978; divorced) [4] [5] Thurn Hoffman (?–present),1,,"Acting teacher, actress, director","Greensburg, Kansas , U.S.",,,,,
1607,Marian Seldes,1928-08-23,Julian Claman  (1953–1961; divorced) Garson Kanin  (1990–1999; his death),Katharine Claman,,Actress,"Manhattan ,  New York City ,  New York , United States",,,,,
1608,Christian Serratos,1990-09-21,David Boyd  (2014–present),1,,Actress,"Pasadena, California , U.S.",,,,,
1609,Joan Severance,1958-12-23,Eric Milan ( m.  1977;  div.  1984),,,"Actress, fashion model","Houston, Texas , U.S",,,,,
1610,Chloë Sevigny,1974-11-18,,,,Actress model fashion designer,"Springfield ,  Massachusetts , US",,,,,
1611,Amanda Seyfried,1985-12-03,Thomas Sadoski  ( m.  2017),1,,Actress model singer-songwriter,"Allentown, Pennsylvania , U.S.",1976-07-01,"New Haven, Connecticut , U.S.",Actor,Kimberly Hope ( m.  2007;  div.  2015) Amanda Seyfried  ( m.  2017),1
1612,Sarah Shahi,1980-01-10,Steve Howey  ( m.  2009),3,Trinity High School,"Actress, model","Euless, Texas , U.S.",1977-07-12,"San Antonio ,  Texas , U.S.",Actor,Sarah Shahi  ( m.  2009),3
1613,Karen Sharpe,1934-09-20,Chester Stevens (1957-62; divorced) Stanley Kramer  (1966-2001; his death),Jennifer Kramer Katharine Kramer [1],,Film and television  actress  and producer,"San Antonio, Texas , U.S.",,,,,
1614,Lindsey Shaw,1989-05-10,,,,Actress,"Lincoln, Nebraska , U.S.",,,,,
1615,Vinessa Shaw,1976-07-19,Kristopher Gifford,1,,Actress model,"Los Angeles ,  California , U.S.",,,,,
1616,Alia Shawkat,1989-04-18,,,,"
 Actress 
 producer 
","Riverside, California , U.S.",,,,,
1617,Lin Shaye,1943-10-12,Marshall Rubinoff ( m.  19??; died 1968) Clayton Landey ( m.  1988;  div.  2003),1,,Actress,"Detroit ,  Michigan , U.S.",,"New York City ,  New York , U.S.",Actor,Lin Shaye ( m.  1988;  div.  2003),1
1618,Ally Sheedy,1962-06-13,David Lansbury ( m.  1992;  div.  2008),1,,"Actress, author","New York City ,  New York , U.S.",,,,,
1619,Kate Lyn Sheil,,Actress,,,Actress,United States,,,,,
1620,Adrienne Shelly,1966-06-24,Andy Ostroy (m. 1994),Sophie Ostroy (b. 2003) [2],,"Actress, director, screenwriter","Queens ,  New York City ,  New York , U.S.",,,,,
1621,Marley Shelton,1974-04-12,Beau Flynn  ( m.  2001),2,,Actress,"Los Angeles ,  California , U.S.",,,Film producer,Marley Shelton  ( m.  2001),2
1622,Cybill Shepherd,1950-02-18,David Ford ( m.  1978;  div.  1982) Bruce Oppenheim ( m.  1987;  div.  1990),"3, including  Clementine Ford",,"Actress, singer","Memphis, Tennessee ,  U.S.",,,,,
1623,Sherri Shepherd,1967-04-22,Jeff Tarpley ( m.  2001;  div.  2010) Lamar Sally ( m.  2011;  sep.  2014),2,,"Actress, comedian, author, television personality","Chicago ,  Illinois ,  U.S.",,,,,
1624,Ann Sheridan,1915-02-21,Edward Norris ( m.  1936;  div.  1938) George Brent ( m.  1942;  div.  1943) Scott McKay ( m.  1966; her death 1967),,,"Actress, singer","Denton, Texas , U.S.",,,,,
1625,Lisa Sheridan,,,,Carnegie Mellon School of Drama,Actress,"Macon, Georgia , U.S.",,,,,
1626,Margaret Sheridan,1926-10-29,William F. Pattison (1946–1952) (1 child)  Paul Wellington Wildman (1953–1982) (2 children) her death,3 [1],,,"Los Angeles , California, U.S.",,,,,
1627,Brooke Shields,1965-05-31,Andre Agassi ( m.  1997;  div.  1999) Chris Henchy  ( m.  2001),2,,"Actress, model","Manhattan, New York , U.S.",,,,,
1628,Alexandra Shipp,1991-07-16,,,,"
 Actress 
 singer 
 songwriter 
 multi-instrumentalist 
","Phoenix, Arizona , U.S.",,,,,
1629,Talia Shire,1946-04-25,David Shire ( m.  1970;  div.  1980) Jack Schwartzman ( m.  1980; died 1994),"3, including  Jason  and  Robert",,Actress,"Lake Success ,  New York , U.S.",1937-07-03,"Buffalo, New York , U.S.",Composer,Talia Shire ( m.  1970;  div.  1980)     Didi Conn  ( m.  1982),2
1630,Anne Shirley,1918-04-17,John Payne ( m.  1937;  div.  1943) Adrian Scott ( m.  1945;  div.  1948) Charles Lederer ( m.  1949; died 1976),"2, including  Julie Payne",,Actress,"New York City ,  New York , U.S.",1912-05-23,"Roanoke ,  Virginia , U.S.","Actor, singer",Anne Shirley ( m.  1937;  div.  1943) Gloria DeHaven ( m.  1944;  div.  1950) Alexandra Crowell Curtis  ( m.  1953),"3, including  Julie Payne"
1631,Dinah Shore,,George Montgomery ( m.  1943;  div.  1963) Maurice F. Smith ( m.  1963;  div.  1964),2,,"Singer, actress, talk show host","Winchester, Tennessee , U.S.",1916-08-29,"Brady,  Pondera County Montana , U.S.","Actor, stuntman, painter, sculptor, wood craftsman",Dinah Shore ( m.  1943;  div.  1963),2
1632,Elisabeth Shue,1963-10-06,Davis Guggenheim  ( m.  1994),3,,Actress,"Wilmington, Delaware ,  U.S.",1963-11-03,"St. Louis, Missouri ,  U.S.","Film director ,  television director ,  film producer ,  television producer",Elisabeth Shue  (m. 1994),3
1633,Jane Sibbett,1962-11-28,Karl Fink ( m.  1992–2016),3,,"Actress, comedian","Berkeley, California , U.S.",,,,,
1634,Gabourey Sidibe,1983-05-06,,,,"Actress, Director, Author","Bedford–Stuyvesant ,  Brooklyn ,  New York City , U.S.",,,,,
1635,Sylvia Sidney,1910-08-08,"July 1, 1999 (1999-07-01)  (aged 88) New York City, U.S.",1,,Actress,"The Bronx ,  New York City , U.S.",,,,,
1636,Drew Sidora,1985-05-01,Ralph Pittman (2014–present),3,,"Singer ,   Actress","Chicago ,  Illinois , U.S.",,,,,
1637,Maggie Siff,1974-06-21,Paul Ratliff ( m.   2012 ),1,Bryn Mawr College (BA)New York University (MFA),"Actress, singer","New York City ,  New York , U.S.",,,,,
1638,Jamie-Lynn Sigler,1981-05-15,A. J. DiScala ( m.  2003;  div.  2006) Cutter Dykstra  ( m.  2016),2,,"Actress, singer","Jericho, New York , U.S.",,,,,
1639,Karen Sillas,1963-06-05,Peter Stormare  (1989–2006) Ivan Menchell ( m.  2007),2,,Actress,"Brooklyn ,  New York ,  U.S.",,,,,
1640,Leslie Silva,1968-04-21,,,"University of Connecticut, Storrs (BFA)Juilliard School (GrDip)",Actress,"Schenectady, New York , U.S.",,,,,
1641,Alicia Silverstone,1976-10-04,Christopher Jarecki ( m.  2005;  div.  2018),1,,Actress,"San Francisco ,  California , U.S.",,,,,
1642,Jessica Simpson,1980-07-10,Nick Lachey ( m.  2002;  div.  2006) Eric Johnson  ( m.  2014),3,,Singer actress fashion designer businesswoman,"Abilene, Texas , U.S.",1973-11-09,"Harlan, Kentucky , U.S.","Actor, singer-songwriter, producer, television personality",Jessica Simpson ( m.  2002;  div.  2006) Vanessa Minnillo  ( m.  2011),3
1643,Molly Sims,1973-05-25,Scott Stuber  ( m.  2011),3,,"Actress, model","Murray, Kentucky , U.S.",,"Granada Hills, Los Angeles ,  United States","Film producer, Netflix executive",Rachel Nichols ( m.  2008;  div.  2009)     Molly Sims  ( m.  2011),3
1644,Nancy Sinatra,1940-06-08,Tommy Sands ( m.  1960;  div.  1965) Hugh Lambert ( m.  1970; died 1985),,,Singer actress,"Jersey City ,  New Jersey , U.S.",,,,,
1645,Jaz Sinclair,1994-07-22,,,,Actress,"Dallas ,  Texas , [1]  U.S.",,,,,
1646,Lori Singer,1957-11-06,Richard Emery ( m.  1980;  div.  1996)   [1],1  [2],,Actress cellist,"Corpus Christi, Texas , U.S.",1946-03-05,Boston Massachusetts,,,
1647,Marina Sirtis,1955-03-29,Michael Lamper ( m.  1992),,,Actress,"Hackney, London , [1]   England , United Kingdom",,,,,
1648,Jennifer Sky,1976-10-13,Alex Band  ( m.  2004–2009),,,Actress,"Jensen Beach, Florida , U.S.",,,,,
1649,Azura Skye,1981-11-08,,,,Actress,"Northridge, Los Angeles , California, U.S.",,,,,
1650,Ione Skye,1970-09-04,Adam Horovitz ( m.  1992;  div.  1999) Ben Lee  ( m.  2008),2,,"
 Actress 
 author 
 painter 
","Hampstead ,  London , England",,,,,
1651,Jenny Slate,1982-03-25,,,Milton Academy,"
 Actress 
 comedian 
 voice artist 
 author 
","Milton, Massachusetts , U.S.",,,,,
